id;organization_id;address;city;country;name;register_date;status;zip_code;individual
1;Intelligent Cotton Gloves frame deposit;infrastructure microchip;Luluport;Bosnia and Herzegovina;CSS;2021-03-17;59658;11063-8617;true
2;French Polynesia e-business;Summit Quality-focused;Lake Sabina;Cyprus;Implementation Glens;2021-03-16;34072;24069;true
3;web-readiness Avon Gorgeous Soft Computer;navigating overriding cross-platform;Runtemouth;Nauru;CFP Franc;2021-03-16;45031;82542-2871;false
4;Nevada green;Licensed;Lefflermouth;Tuvalu;architect optimize incubate;2021-03-16;3594;69516;true
5;Shoes;bandwidth Washington redundant;North Evanton;Canada;Grocery invoice parse;2021-03-16;64091;12876-6115;true
6;Grocery Fantastic Wooden Fish;North Carolina Vision-oriented Multi-channelled;Kalliefort;Saint Lucia;website;2021-03-17;38149;89947-0710;false
7;Program Checking Account Chicken;Movies Personal Loan Account GB;Rosenbaumland;Kuwait;Florida functionalities transparent;2021-03-16;7174;52998;false
8;enterprise Integration;interface olive toolset;New Krystelberg;Burundi;generate;2021-03-16;65405;42259;false
9;deposit Auto Loan Account;frame Representative leading edge;Colliermouth;Hong Kong;Home Loan Account Planner;2021-03-16;96179;18629;true
10;SSL;green synthesizing;West Edmondberg;Sweden;withdrawal wireless Ford;2021-03-17;33229;34658;true
