id;stripe_id;nickname;product_id
1;Canadian Dollar Re-engineered Grass-roots;connect overriding;synthesize New Mexico human-resource
2;fuchsia withdrawal Wooden;Saint Pierre and Miquelon;technologies
3;Fresh North Carolina Kansas;Administrator;Handcrafted Personal Loan Account
4;implement;Coordinator Future;Armenia
5;Car Facilitator;index Infrastructure input;Hill Ball
6;orange RAM;hard drive;maroon
7;standardization;Junctions magenta;Creative Developer strategy
8;Exclusive e-enable;Accounts;next-generation
9;end-to-end;Persevering;Avon
10;RSS bottom-line;grow;RSS Austria niches
