id;stripe_id;stripe_email;taxe_rate;migrate_at;updated_at
1;Equatorial Guinea recontextualize;Corporate mobile;9235;2021-03-16;2021-03-16
2;primary;Licensed Granite Bacon;38730;2021-03-16;2021-03-17
3;Buckinghamshire Avon solutions;paradigms invoice;35056;2021-03-17;2021-03-16
4;Handcrafted Incredible violet;Faroe Islands Home;45569;2021-03-16;2021-03-16
5;e-services Horizontal Jewelery;cross-media;2217;2021-03-16;2021-03-16
6;Utah sky blue;Open-architected magnetic salmon;21454;2021-03-16;2021-03-16
7;Rubber synergies;Technician vortals Iceland;59182;2021-03-16;2021-03-16
8;web-readiness Lead purple;generating e-markets;38129;2021-03-16;2021-03-16
9;system engine Self-enabling Mountains;demand-driven Liberia violet;43011;2021-03-17;2021-03-17
10;Representative North Carolina;HTTP;58034;2021-03-16;2021-03-16
