id;subscription_id;org_id;month;year;type;conso
1;Cape Verde;Kids program Reactive;91737;78743;SIGNATURE;20700
2;Generic Steel Pizza bypassing override;capacitor card;86466;51337;TIMESTAMP;79824
3;Cloned;strategic index Legacy;64322;12091;SERVER;56896
4;data-warehouse;Rhode Island Savings Account SMS;44730;93761;TIMESTAMP;60827
5;Baby Refined;Credit Card Account;90059;2528;SERVER;69044
6;Northern Mariana Islands;Kids South Dakota;62029;97734;TIMESTAMP;82086
7;Aruba Lari JBOD;models;64451;4515;TIMESTAMP;58135
8;Borders;Radial cyan;42482;90879;SERVER;84295
9;Saint Helena Pound Credit Card Account Programmable;Arizona Licensed Soft Gloves infrastructures;95516;42521;SERVER;56980
10;extend XML program;Customer reciprocal salmon;10211;63533;TIMESTAMP;88086
